epoch,train_loss,train_acc,val_acc,noiseless_val_acc,final_train_acc,final_val_acc,final_noiseless_val_acc,sensitivity,sens_f,sens_g,err_f,err_g,lr,depth,d_model,dropout,heads,d_ffn,n_bool,n_bits,bf_bool
5,0.398902605753392,0.8779296875,0.9,1.0,0.8779296875,0.9,1.0,1.26,1.25,1.25,0.7645000000000002,0.7645000000000002,0.002512,4,32,0.1,8,256,3,5,0.1
60,0.546184147708118,0.884765625,0.9109375,1.0,0.884765625,0.9109375,1.0,1.262,1.25,1.25,0.7645000000000003,0.7645000000000003,0.03981,4,128,0.1,2,64,3,5,0.1
91,0.6637468226253986,0.6044921875,0.584375,0.773046875,0.5947265625,0.566796875,0.708984375,1.288,1.5,1.5,0.28,0.28,0.000158,4,64,0.05,2,32,3,5,0.3
1,0.6915892362594604,0.62890625,0.615625,0.64609375,0.62890625,0.601953125,0.6484375,0.32,1.75,1.0,0.2515,0.285,1e-05,2,64,0.1,8,64,3,5,0.3
1,0.705017396248877,0.7626953125,0.777734375,0.777734375,0.7626953125,0.777734375,0.777734375,0.0,1.0,0.0,0.49,0.5,2.5e-05,2,64,0.05,2,256,3,5,0.3
46,0.5595568725839257,0.74609375,0.776953125,1.0,0.74609375,0.776953125,1.0,1.286,1.25,1.25,0.5559999999999999,0.5559999999999999,0.000398,3,128,0.2,8,32,3,5,0.2
94,0.7096010725945234,0.630859375,0.628515625,0.771484375,0.5888671875,0.605859375,0.6921875,1.624,1.0,1.0,0.4,0.4,1e-05,4,32,0.1,2,64,3,5,0.3
25,0.5399094391614199,0.787109375,0.80546875,0.81328125,0.787109375,0.80546875,0.81328125,0.32,1.5,1.5,0.7380000000000001,0.7380000000000001,1e-05,3,32,0.05,2,32,3,5,0.1
14,0.36922680074349046,0.8935546875,0.89375,1.0,0.8935546875,0.89375,1.0,1.262,1.25,1.25,0.7645000000000003,0.7645000000000003,0.00631,4,32,0.2,4,128,3,5,0.1
4,0.5268899267539382,0.853515625,0.854296875,1.0,0.853515625,0.854296875,1.0,1.526,1.5,1.5,0.7200000000000001,0.7200000000000001,0.002512,1,32,0.1,2,32,3,5,0.1
6,0.4447311917319894,0.87890625,0.871484375,1.0,0.87890625,0.871484375,1.0,1.304,1.25,1.25,0.7645000000000003,0.7645000000000003,0.00631,3,16,0.1,4,32,3,5,0.1
2,0.30986995476996526,1.0,1.0,1.0,1.0,1.0,1.0,1.796,1.75,1.75,1.0,1.0,0.01585,3,16,0.1,8,32,3,5,0.0
35,0.6494680307805538,0.63671875,0.63515625,0.88046875,0.630859375,0.62265625,0.759765625,1.298,1.5,1.5,0.28,0.28,0.002512,2,128,0.05,8,32,3,5,0.3
9,0.1453700708807446,1.0,1.0,1.0,1.0,1.0,1.0,1.048,1.0,1.0,1.0,1.0,0.000398,3,32,0.1,2,256,3,5,0.0
7,0.5108847683295608,0.8212890625,0.834375,1.0,0.8212890625,0.834375,1.0,1.998,2.0,2.0,0.648,0.648,0.01585,1,16,0.1,4,128,3,5,0.1
83,0.5988610461354256,0.7158203125,0.742578125,0.9390625,0.7021484375,0.700390625,0.88515625,1.484,1.75,1.75,0.436,0.436,0.001,4,16,0.2,2,32,3,5,0.2
25,0.5387283992022276,0.7607421875,0.790625,1.0,0.759765625,0.7828125,0.974609375,1.246,1.25,1.25,0.5559999999999998,0.5559999999999998,0.002512,4,32,0.2,4,32,3,5,0.2
9,0.13254198520871796,1.0,1.0,1.0,1.0,1.0,1.0,1.518,1.5,1.5,1.0,1.0,0.01585,4,128,0.2,8,128,3,5,0.0
9,0.29370437283068895,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1e-05,2,16,0.2,4,64,3,5,0.0
