epoch,train_loss,train_acc,val_acc,noiseless_val_acc,final_train_acc,final_val_acc,final_noiseless_val_acc,sensitivity,sens_f,sens_g,err_f,err_g,lr,depth,d_model,dropout,heads,d_ffn,n_bool,n_bits,bf_bool
135,0.6798465980423821,0.566468253968254,0.5877976190476191,0.6423611111111112,0.6026785714285714,0.5649801587301587,0.6463293650793651,1.926,3.0625,2.9375,0.377088,0.376265,0.000158,4,32,0.1,8,256,6,10,0.2
40,0.6777216205521236,0.5580357142857143,0.5540674603174603,0.5391865079365079,0.7113095238095238,0.5,0.6101190476190477,0.978,3.96875,3.09375,0.4157769,0.410741,0.001585,4,32,0.05,4,64,8,10,0.2
250,0.6787388173360673,0.5768849206349206,0.5610119047619048,0.5778769841269841,0.5793650793650794,0.5486111111111112,0.5763888888888888,1.5675,4.03125,3.65625,0.3625975263839722,0.36085360212554934,4e-05,4,64,0.05,2,32,8,10,0.15
119,0.6859712099272107,0.5659722222222222,0.5828373015873016,0.6259920634920635,0.5590277777777778,0.5600198412698413,0.6150793650793651,1.1135,3.0625,2.0,0.42302703857421875,0.41605377197265625,0.001,2,128,0.05,4,128,6,10,0.25
3,0.7247882116408575,0.6736111111111112,0.6860119047619048,0.683531746031746,0.6741071428571429,0.685515873015873,0.685515873015873,0.0255,2.5,0.0,0.38691749999999997,0.3125,1.6e-05,4,32,0.1,8,32,5,10,0.3
297,0.6361240536447555,0.6527777777777778,0.625,0.7604166666666666,0.6458333333333334,0.6175595238095238,0.7514880952380952,1.962,3.609375,3.0,0.3416379801635743,0.33928765881347656,0.001585,1,64,0.2,8,32,7,10,0.15
66,0.6111084289020963,0.6889880952380952,0.6999007936507936,0.7619047619047619,0.7113095238095238,0.6944444444444444,0.7837301587301587,0.633,2.375,0.6875,0.343017578125,0.3048095703125,0.000251,2,32,0.05,4,256,5,10,0.25
8,0.7203322289481996,0.49007936507936506,0.5277777777777778,0.5089285714285714,0.5158730158730159,0.4781746031746032,0.4990079365079365,1.1015,4.171875,2.953125,0.45938777923583984,0.4531879425048828,1.6e-05,4,16,0.05,2,64,8,10,0.25
225,0.6502730524729169,0.6374007936507936,0.6135912698412699,0.7331349206349206,0.6423611111111112,0.595734126984127,0.7316468253968254,1.8665,2.875,2.5625,0.36270800000000003,0.359588,0.000251,4,32,0.2,4,128,6,10,0.2
214,0.5635274544594779,0.7336309523809523,0.7385912698412699,0.7371031746031746,0.7346230158730159,0.7375992063492064,0.7366071428571429,0.073,2.5625,0.0,0.36181387499999995,0.28125,0.000158,1,32,0.1,2,32,6,10,0.3
